;station;train_mse;test_mse;max_depth;ntrees
0;SKBO;0.05513807644355955;0.05357267625964068;6;100
1;SKBG;0.10606958293610116;0.15576216055869876;8;100
2;SKCL;0.10193013569758111;0.13268239354571024;9;100
3;SKCC;0.019431508778506787;0.0346105732344007;10;100
4;SKCG;0.059297316893693726;0.05627826988997561;3;100
5;SKPE;0.056343932565762964;0.06722974982551302;7;100
6;SKSP;0.016160272720015006;0.01405671727132907;3;100
7;SKSM;0.004979729520562951;0.015423122272413508;1;100
8;SKRG;0.05652477531394898;0.07792663588882279;10;100
9;SKBQ;0.04013519409693088;0.037327927832307276;6;100
