;station;train_mse;test_mse;max_depth;ntrees
0;SKBO;0.3871649401542619;0.5368337900195123;7;100
1;SKBG;1.03409224227648;0.8748144747735415;4;100
2;SKCL;0.3712991762640079;0.6664040911750931;9;100
3;SKCC;0.3475641121917475;0.3596873890148229;7;100
4;SKCG;0.17980271394557312;0.16993353591596108;6;100
5;SKPE;0.5480887933276943;0.6696211257347632;9;100
6;SKSP;0.09852777189755386;0.040935669206486204;3;100
7;SKSM;0.20378174760225165;0.014104683331037291;1;100
8;SKRG;0.8990627041592331;1.2347254333233815;9;100
9;SKBQ;0.5360240256172718;0.5496336814605193;7;100
